Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ETF
2023-02-15 00:00:00+03:00,173.65973044885712,190.4268798828125,173.65973044885712,190.4268798828125,351097,0.0,0.0,CCOLA.IS
2023-02-16 00:00:00+03:00,195.21750571445227,204.599117702908,184.1392059326172,184.1392059326172,610250,0.0,0.0,CCOLA.IS
2023-02-17 00:00:00+03:00,183.04134890901145,186.4347092295985,181.2448810539977,182.04330444335938,191765,0.0,0.0,CCOLA.IS
2023-02-20 00:00:00+03:00,182.0433088833386,186.734130169471,178.84956956114763,181.3446807861328,260946,0.0,0.0,CCOLA.IS
2023-02-21 00:00:00+03:00,180.64605993423115,184.53842750974195,179.24880368377882,180.54624938964844,536191,0.0,0.0,CCOLA.IS
2023-02-22 00:00:00+03:00,180.04722595214844,183.14117006665316,179.14899197255718,180.04722595214844,274283,0.0,0.0,CCOLA.IS
2023-02-23 00:00:00+03:00,180.04722782858227,183.74000478726748,179.84762196758737,182.14312744140625,314608,0.0,0.0,CCOLA.IS
2023-02-24 00:00:00+03:00,182.14311975055023,186.33490357025227,180.84565886544118,184.03939819335938,464637,0.0,0.0,CCOLA.IS
2023-02-27 00:00:00+03:00,185.23706542244994,185.9356935271534,181.34468273232966,183.44058227539062,402178,0.0,0.0,CCOLA.IS
2023-02-28 00:00:00+03:00,184.73805381819673,192.42299387070437,184.73805381819673,190.6265106201172,964189,0.0,0.0,CCOLA.IS
2023-03-01 00:00:00+03:00,190.62649774551392,192.62258672714233,188.33099237085116,191.62454223632812,514205,0.0,0.0,CCOLA.IS
2023-03-02 00:00:00+03:00,192.323167847264,200.40733420990654,191.5247292191468,198.21163940429688,541574,0.0,0.0,CCOLA.IS
2023-03-03 00:00:00+03:00,198.311445760231,200.60695123306624,189.62846136458998,195.11770629882812,493223,0.0,0.0,CCOLA.IS
2023-03-06 00:00:00+03:00,195.3172981143591,200.70674734505968,193.02179280659496,199.40928649902344,379740,0.0,0.0,CCOLA.IS
2023-03-07 00:00:00+03:00,200.90635721875262,203.70088481339658,198.61085186497542,199.80850219726562,509003,0.0,0.0,CCOLA.IS
2023-03-08 00:00:00+03:00,199.90832118521627,200.5071387621925,195.61672668660768,199.50909423828125,431794,0.0,0.0,CCOLA.IS
2023-03-09 00:00:00+03:00,199.60889960054178,200.20773239092358,196.61476610653366,198.61085510253906,368668,0.0,0.0,CCOLA.IS
2023-03-10 00:00:00+03:00,198.61085528816912,209.0903225269921,197.91222718470434,205.09814453125,735160,0.0,0.0,CCOLA.IS
2023-03-13 00:00:00+03:00,205.09814206848083,209.4895317194862,204.5991198250052,207.89266967773438,530732,0.0,0.0,CCOLA.IS
2023-03-14 00:00:00+03:00,207.89266405126293,211.88484189102238,203.9004862115035,208.09226989746094,439821,0.0,0.0,CCOLA.IS
2023-03-15 00:00:00+03:00,208.09226693680037,209.78893944876853,198.71065523842378,200.60693359375,397045,0.0,0.0,CCOLA.IS
2023-03-16 00:00:00+03:00,200.60695418917885,207.0942437525105,200.50714364277786,204.19992065429688,313210,0.0,0.0,CCOLA.IS
2023-03-17 00:00:00+03:00,205.19795611911948,212.18426764729446,204.59912332512428,209.38973999023438,490545,0.0,0.0,CCOLA.IS
2023-03-20 00:00:00+03:00,209.3897302468145,210.8867969331898,197.81240844726562,197.81240844726562,444314,0.0,0.0,CCOLA.IS
2023-03-21 00:00:00+03:00,197.81240723550047,201.50516866014834,190.82609607521272,197.31338500976562,482286,0.0,0.0,CCOLA.IS
2023-03-22 00:00:00+03:00,197.31338500976562,199.60889029393584,195.41710664355315,197.31338500976562,199688,0.0,0.0,CCOLA.IS
2023-03-23 00:00:00+03:00,197.71261435739788,202.90244252302764,195.81632073893223,202.10400390625,271860,0.0,0.0,CCOLA.IS
2023-03-24 00:00:00+03:00,202.1040216436241,205.0981552976037,196.41517074685308,196.61477661132812,331588,0.0,0.0,CCOLA.IS
2023-03-27 00:00:00+03:00,197.0139855285499,199.60890741654543,195.81633512984084,196.71458435058594,216777,0.0,0.0,CCOLA.IS
2023-03-28 00:00:00+03:00,198.71065607078546,206.59520113357888,198.71065607078546,202.2038116455078,756053,0.0,0.0,CCOLA.IS
2023-03-29 00:00:00+03:00,202.60302376721734,208.5912904795489,197.61280150694105,204.89852905273438,464932,0.0,0.0,CCOLA.IS
2023-03-30 00:00:00+03:00,206.39560327882288,210.8868034773173,203.00224288036802,210.58738708496094,608277,0.0,0.0,CCOLA.IS
2023-03-31 00:00:00+03:00,210.4875679804037,210.4875679804037,203.30165100097656,203.30165100097656,409170,0.0,0.0,CCOLA.IS
2023-04-03 00:00:00+03:00,203.6010702136605,205.098136906408,194.61867005717548,203.2018585205078,488098,0.0,0.0,CCOLA.IS
2023-04-04 00:00:00+03:00,203.60107141965347,206.09618258901196,195.71652621606063,203.7008819580078,236394,0.0,0.0,CCOLA.IS
2023-04-05 00:00:00+03:00,202.603034454642,207.59325697815535,202.40342859949158,205.59716796875,317273,0.0,0.0,CCOLA.IS
2023-04-06 00:00:00+03:00,205.5971580096336,218.57173594228038,205.5971580096336,214.08053588867188,913581,0.0,0.0,CCOLA.IS
2023-04-07 00:00:00+03:00,214.77916674770074,226.75570037930802,213.18230473418978,225.3584442138672,853156,0.0,0.0,CCOLA.IS
2023-04-10 00:00:00+03:00,225.3584462489836,227.15492935573798,220.26841331800455,223.66177368164062,527394,0.0,0.0,CCOLA.IS
2023-04-11 00:00:00+03:00,226.55608878912307,228.95138936315507,220.76742796810444,221.76547241210938,667823,0.0,0.0,CCOLA.IS
